train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.1M
epoch 87, train 0.6298|0.6547, val 0.6647|0.6239, tval_ff 0.6769|0.6100, tval_bd 0.6531|0.6583, tval_hd_comb 0.6794|0.5863, tval_hd_novel 0.6641|0.6203, 7.4m 10.7h/12.2h
epoch 88, train 0.6459|0.6364, val 0.6698|0.6028, tval_ff 0.6747|0.5858, tval_bd 0.6572|0.6500, tval_hd_comb 0.6880|0.5575, tval_hd_novel 0.6855|0.6016, 7.4m 10.8h/12.2h
epoch 89, train 0.6443|0.6529, val 0.6688|0.6150, tval_ff 0.6724|0.5933, tval_bd 0.6474|0.6688, tval_hd_comb 0.7040|0.5600, tval_hd_novel 0.6868|0.5719, 7.4m 10.9h/12.2h
epoch 90, train 0.6415|0.6444, val 0.6678|0.6211, tval_ff 0.6727|0.6125, tval_bd 0.6336|0.6844, tval_hd_comb 0.7117|0.5562, tval_hd_novel 0.6932|0.5937, 7.4m 11.0h/12.2h
epoch 91, train 0.6490|0.6427, val 0.6807|0.6039, tval_ff 0.6814|0.6050, tval_bd 0.6585|0.6885, tval_hd_comb 0.6694|0.6000, tval_hd_novel 0.6716|0.6000, 7.4m 11.1h/12.2h
epoch 92, train 0.6440|0.6507, val 0.6746|0.6167, tval_ff 0.6825|0.5642, tval_bd 0.6467|0.6698, tval_hd_comb 0.6897|0.5800, tval_hd_novel 0.6862|0.5734, 7.4m 11.3h/12.2h
epoch 93, train 0.6343|0.6418, val 0.6702|0.5956, tval_ff 0.6790|0.5900, tval_bd 0.6488|0.6635, tval_hd_comb 0.6670|0.6213, tval_hd_novel 0.6772|0.5891, 7.4m 11.4h/12.2h
epoch 94, train 0.6433|0.6338, val 0.6614|0.6144, tval_ff 0.6696|0.5958, tval_bd 0.6565|0.6490, tval_hd_comb 0.6876|0.5838, tval_hd_novel 0.6899|0.5703, 7.4m 11.5h/12.2h
epoch 95, train 0.6384|0.6396, val 0.6717|0.6172, tval_ff 0.6776|0.5850, tval_bd 0.6455|0.6760, tval_hd_comb 0.6835|0.5838, tval_hd_novel 0.6627|0.6031, 7.3m 11.6h/12.2h
epoch 96, train 0.6286|0.6658, val 0.6725|0.6178, tval_ff 0.6760|0.6042, tval_bd 0.6478|0.6885, tval_hd_comb 0.6908|0.5625, tval_hd_novel 0.6754|0.5875, 7.3m 11.8h/12.2h
epoch 97, train 0.6268|0.6516, val 0.6801|0.6200, tval_ff 0.7065|0.5850, tval_bd 0.6561|0.6687, tval_hd_comb 0.7339|0.5688, tval_hd_novel 0.6974|0.5719, 7.3m 11.9h/12.2h
epoch 98, train 0.6453|0.6427, val 0.6910|0.5878, tval_ff 0.6738|0.6025, tval_bd 0.6454|0.6865, tval_hd_comb 0.7069|0.5725, tval_hd_novel 0.6875|0.5703, 7.3m 12.0h/12.2h
epoch 99, train 0.6340|0.6484, val 0.6730|0.6039, tval_ff 0.6861|0.5675, tval_bd 0.6361|0.6750, tval_hd_comb 0.6751|0.6138, tval_hd_novel 0.6777|0.5750, 7.4m 12.1h/12.2h
epoch 100, train 0.6375|0.6453, val 0.6533|0.6439, tval_ff 0.6743|0.6142, tval_bd 0.6530|0.6781, tval_hd_comb 0.6981|0.5413, tval_hd_novel 0.7021|0.5766, 7.3m 12.2h/12.2h
