train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.2M
epoch 79, train 0.6055|0.6564, val 0.6510|0.6283, tval_ff 0.6454|0.6250, tval_bd 0.5813|0.6885, tval_hd_comb 0.7193|0.6037, tval_hd_novel 0.7103|0.6125, 7.0m 9.2h/11.7h
epoch 80, train 0.6125|0.6542, val 0.6715|0.6344, tval_ff 0.6690|0.5792, tval_bd 0.6128|0.6635, tval_hd_comb 0.7347|0.5938, tval_hd_novel 0.7008|0.6125, 7.0m 9.3h/11.7h
epoch 81, train 0.5947|0.6711, val 0.6571|0.6050, tval_ff 0.6633|0.5808, tval_bd 0.6199|0.6552, tval_hd_comb 0.7527|0.5950, tval_hd_novel 0.7680|0.6031, 7.0m 9.5h/11.7h
epoch 82, train 0.5812|0.6880, val 0.6822|0.6028, tval_ff 0.6625|0.5983, tval_bd 0.6038|0.6542, tval_hd_comb 0.7546|0.5950, tval_hd_novel 0.6568|0.6422, 7.0m 9.6h/11.7h
epoch 83, train 0.5995|0.6622, val 0.6672|0.6178, tval_ff 0.6711|0.5817, tval_bd 0.6091|0.6615, tval_hd_comb 0.7677|0.5688, tval_hd_novel 0.6859|0.6219, 7.0m 9.7h/11.7h
epoch 84, train 0.6045|0.6613, val 0.6706|0.6361, tval_ff 0.6586|0.6117, tval_bd 0.5931|0.6740, tval_hd_comb 0.7258|0.6062, tval_hd_novel 0.7314|0.5938, 7.0m 9.8h/11.7h
epoch 85, train 0.6008|0.6653, val 0.6782|0.6289, tval_ff 0.6731|0.5908, tval_bd 0.6111|0.6729, tval_hd_comb 0.7925|0.5950, tval_hd_novel 0.7215|0.6141, 7.0m 9.9h/11.7h
epoch 86, train 0.5828|0.6889, val 0.6710|0.6394, tval_ff 0.6823|0.5558, tval_bd 0.6056|0.6708, tval_hd_comb 0.7840|0.5887, tval_hd_novel 0.8157|0.5734, 7.0m 10.0h/11.7h
epoch 87, train 0.5929|0.6729, val 0.6708|0.6328, tval_ff 0.6619|0.5958, tval_bd 0.6056|0.6615, tval_hd_comb 0.7717|0.5775, tval_hd_novel 0.6868|0.6281, 7.0m 10.2h/11.7h
epoch 88, train 0.6021|0.6591, val 0.6540|0.6289, tval_ff 0.6565|0.5983, tval_bd 0.6101|0.6635, tval_hd_comb 0.6826|0.6200, tval_hd_novel 0.6922|0.5969, 7.0m 10.3h/11.7h
epoch 89, train 0.5966|0.6751, val 0.6668|0.6183, tval_ff 0.6667|0.5817, tval_bd 0.5927|0.6646, tval_hd_comb 0.7848|0.5675, tval_hd_novel 0.7150|0.5875, 7.0m 10.4h/11.7h
epoch 90, train 0.5952|0.6636, val 0.6708|0.6183, tval_ff 0.6645|0.6042, tval_bd 0.5957|0.6729, tval_hd_comb 0.7427|0.6025, tval_hd_novel 0.7041|0.6156, 7.0m 10.5h/11.7h
epoch 91, train 0.6131|0.6551, val 0.6721|0.6106, tval_ff 0.6609|0.5825, tval_bd 0.6243|0.6396, tval_hd_comb 0.7349|0.6025, tval_hd_novel 0.6731|0.6109, 7.0m 10.6h/11.7h
epoch 92, train 0.6011|0.6600, val 0.6777|0.6139, tval_ff 0.6699|0.5850, tval_bd 0.6058|0.7021, tval_hd_comb 0.7357|0.5900, tval_hd_novel 0.7306|0.5719, 7.0m 10.7h/11.7h
epoch 93, train 0.5894|0.6751, val 0.6826|0.6067, tval_ff 0.6662|0.5742, tval_bd 0.6047|0.6615, tval_hd_comb 0.7526|0.5937, tval_hd_novel 0.7361|0.5906, 7.0m 10.9h/11.7h
epoch 94, train 0.6130|0.6498, val 0.6570|0.6211, tval_ff 0.6643|0.5933, tval_bd 0.6255|0.6385, tval_hd_comb 0.7134|0.5887, tval_hd_novel 0.6841|0.6188, 7.0m 11.0h/11.7h
epoch 95, train 0.5991|0.6569, val 0.6723|0.6050, tval_ff 0.6626|0.5933, tval_bd 0.6198|0.6750, tval_hd_comb 0.7555|0.5900, tval_hd_novel 0.6777|0.6109, 7.0m 11.1h/11.7h
epoch 96, train 0.5854|0.6831, val 0.6824|0.6083, tval_ff 0.6496|0.6092, tval_bd 0.6114|0.6562, tval_hd_comb 0.7616|0.5937, tval_hd_novel 0.7392|0.5953, 7.0m 11.2h/11.7h
epoch 97, train 0.5888|0.6769, val 0.6779|0.6167, tval_ff 0.6735|0.5858, tval_bd 0.6039|0.6750, tval_hd_comb 0.7640|0.5875, tval_hd_novel 0.6997|0.6281, 7.0m 11.3h/11.7h
epoch 98, train 0.6082|0.6551, val 0.6805|0.6189, tval_ff 0.6574|0.6017, tval_bd 0.5925|0.6937, tval_hd_comb 0.7536|0.6000, tval_hd_novel 0.6932|0.6219, 7.0m 11.5h/11.7h
epoch 99, train 0.5946|0.6747, val 0.6870|0.6178, tval_ff 0.6693|0.5883, tval_bd 0.5890|0.6885, tval_hd_comb 0.8037|0.5862, tval_hd_novel 0.7204|0.5891, 7.0m 11.6h/11.7h
epoch 100, train 0.6059|0.6604, val 0.6601|0.6211, tval_ff 0.6745|0.5708, tval_bd 0.6213|0.6562, tval_hd_comb 0.7728|0.5925, tval_hd_novel 0.7505|0.6172, 7.0m 11.7h/11.7h
